Equipment,Map Section,SL ID,Old SL ID,House No.,Street,City,Rate,Lamp,Luminaire,Bracket,Support,Connection,Valid From Date,Lamp Date,Luminaire Date,Bracket Date,Support Date,Connection Date,Longitude,Latitude
1000956548,MO,0,P023082,40,HIGH ST,NORTH SYDNEY,3,SON1*400,PRIVATE,PRIVATE,PRIVATE,UGR1,01/07/2020,17/05/2006,01/01/1974,01/01/1974,01/01/1974,01/01/1974,,
1000956552,MO,0,P023089,40,HIGH ST,NORTH SYDNEY,3,SON1*400,PRIVATE,PRIVATE,PRIVATE,UGR1,01/07/2020,17/05/2006,01/01/1974,01/01/1974,01/01/1974,01/01/1974,,
1000956581,MO,0,P028012,,WARRINGAH FREEWAY,NORTH SYDNEY,3,TF4*80,PRIVATE,PRIVATE,PRIVATE,UGR1,01/07/2020,01/07/1974,01/07/1974,01/07/1974,01/07/1974,01/07/1974,,
1000956585,MO,0,P028013,,WARRINGAH FREEWAY,NORTH SYDNEY,3,TF6*80,PRIVATE,PRIVATE,PRIVATE,UGR1,01/07/2020,01/07/1974,01/07/1974,01/07/1974,01/07/1974,01/07/1974,,
1000956589,MO,0,P028014,,WARRINGAH FREEWAY,NORTH SYDNEY,3,TF6*80,PRIVATE,PRIVATE,PRIVATE,UGR1,01/07/2020,01/07/1974,01/07/1974,01/07/1974,01/07/1974,01/07/1974,,
1000956593,MO,0,P028029,,WARRINGAH FREEWAY,NORTH SYDNEY,3,MBF1*700,PRIVATE,PRIVATE,PRIVATE,UGR1,01/07/2020,01/01/1974,01/01/1974,01/01/1974,01/01/1974,01/01/1974,,
1000956606,MO,0,P020188,OPP 48,HIGH ST,NORTH SYDNEY,3,TF4*20,PRIVATE,PRIVATE,PRIVATE,UGR1,01/07/2020,01/07/1974,01/07/1974,01/07/1974,01/07/1974,01/07/1974,,
1000956610,MO,0,P023071,16,MCDOUGALL ST,MILSONS POINT,3,TF2*20,PRIVATE,PRIVATE,PRIVATE,UGR1,01/07/2020,01/01/1974,01/01/1974,01/01/1974,01/01/1974,01/01/1974,,
1000956614,MO,0,P023072,16,MCDOUGALL ST,MILSONS POINT,3,TF2*20,PRIVATE,PRIVATE,PRIVATE,UGR1,01/07/2020,01/01/1974,01/01/1974,01/01/1974,01/01/1974,01/01/1974,,
1000956618,MO,0,P023073,40,HIGH ST,NORTH SYDNEY,3,TF2*40,PRIVATE,PRIVATE,PRIVATE,UGR1,01/07/2020,01/01/1974,01/01/1974,01/01/1974,01/01/1974,01/01/1974,,
1000956622,MO,0,P028010,,WARRINGAH FREEWAY,NORTH SYDNEY,3,TF6*80,PRIVATE,PRIVATE,PRIVATE,UGR1,01/07/2020,01/07/1974,01/07/1974,01/07/1974,01/07/1974,01/07/1974,,
1000956626,MO,0,P023323,,WARRINGAH FREEWAY,NORTH SYDNEY,3,SON1*400,PRIVATE,PRIVATE,PRIVATE,OH,01/07/2020,17/05/2006,18/06/1968,18/06/1968,18/06/1968,18/06/1968,,
1000956629,MO,0,P023324,,WARRINGAH FREEWAY,NORTH SYDNEY,3,SON1*400,PRIVATE,PRIVATE,PRIVATE,OH,01/07/2020,17/05/2006,18/06/1968,18/06/1968,18/06/1968,18/06/1968,,
1000956632,MO,0,P023325,,WARRINGAH FREEWAY,NORTH SYDNEY,3,SON1*400,PRIVATE,PRIVATE,PRIVATE,UGR1,01/07/2020,19/05/2006,01/01/1974,01/01/1974,01/01/1974,01/01/1974,,
1000956637,MO,0,P023326,,WARRINGAH FREEWAY,NORTH SYDNEY,3,SON1*150,PRIVATE,PRIVATE,PRIVATE,UGR1,01/07/2020,17/05/2006,01/01/1974,01/01/1974,01/01/1974,01/01/1974,,
1000956641,MO,0,P023327,,WARRINGAH FREEWAY,NORTH SYDNEY,3,SON1*400,PRIVATE,PRIVATE,PRIVATE,OH,01/07/2020,17/05/2006,01/07/1969,01/07/1969,01/07/1969,01/07/1969,,
1000956645,MO,0,P023092,40,HIGH ST,NORTH SYDNEY,3,TF4*20,PRIVATE,PRIVATE,PRIVATE,UGR1,01/07/2020,01/01/1974,01/01/1974,01/01/1974,01/01/1974,01/01/1974,,
1000956649,MO,0,P023093,40,HIGH ST,NORTH SYDNEY,3,TF4*20,PRIVATE,PRIVATE,PRIVATE,UGR1,01/07/2020,01/01/1974,01/01/1974,01/01/1974,01/01/1974,01/01/1974,,
1000956653,MO,0,P023094,40,HIGH ST,NORTH SYDNEY,3,SON1*400,PRIVATE,PRIVATE,PRIVATE,UGR1,01/07/2020,17/05/2006,01/01/1974,01/01/1974,01/01/1974,01/01/1974,,
1000956657,MO,0,P023097,40,HIGH ST,NORTH SYDNEY,3,SON1*250,PRIVATE,PRIVATE,PRIVATE,UGR1,01/07/2020,17/05/2006,01/01/1974,01/01/1974,01/01/1974,01/01/1974,,
1000956663,MO,0,P023098,40,HIGH ST,NORTH SYDNEY,3,SON1*250,PRIVATE,PRIVATE,PRIVATE,UGR1,01/07/2020,17/05/2006,01/01/1974,01/01/1974,01/01/1974,01/01/1974,,
1000956690,MO,0,P023236,,WARRINGAH FREEWAY,NORTH SYDNEY,3,SON1*250,PRIVATE,PRIVATE,PRIVATE,OH,01/07/2020,17/05/2006,18/06/1968,18/06/1968,18/06/1968,18/06/1968,,
1000956693,MO,0,P023237,,WARRINGAH FREEWAY,NORTH SYDNEY,3,SON1*250,PRIVATE,PRIVATE,PRIVATE,UGR1,01/07/2020,17/05/2006,01/01/1974,01/01/1974,01/01/1974,01/01/1974,,
